Beginning classifier!
loading baseline...
507
507 8190 507 2
torch.Size([507, 8190]) torch.Size([507, 2])
Predicted tensor([ 1.0123, -0.0128]) Actual tensor([0., 1.])
Predicted tensor([-0.0311,  1.0300]) Actual tensor([0., 1.])
Predicted tensor([0.8407, 0.1586]) Actual tensor([0., 1.])
Predicted tensor([0.1688, 0.8293]) Actual tensor([1., 0.])
Predicted tensor([0.5481, 0.4516]) Actual tensor([0., 1.])
Predicted tensor([0.9375, 0.0623]) Actual tensor([0., 1.])
Predicted tensor([ 1.0899, -0.0900]) Actual tensor([1., 0.])
Predicted tensor([-0.0238,  1.0234]) Actual tensor([0., 1.])
Predicted tensor([0.5542, 0.4463]) Actual tensor([1., 0.])
Predicted tensor([0.7197, 0.2800]) Actual tensor([1., 0.])
Predicted tensor([0.4863, 0.5134]) Actual tensor([1., 0.])
Predicted tensor([0.6129, 0.3865]) Actual tensor([1., 0.])
Predicted tensor([0.3538, 0.6449]) Actual tensor([0., 1.])
Predicted tensor([0.1265, 0.8729]) Actual tensor([0., 1.])
Predicted tensor([0.9898, 0.0100]) Actual tensor([1., 0.])
Predicted tensor([0.0695, 0.9303]) Actual tensor([0., 1.])
Predicted tensor([-0.0030,  1.0012]) Actual tensor([0., 1.])
Predicted tensor([0.5196, 0.4972]) Actual tensor([0., 1.])
Predicted tensor([0.4813, 0.5602]) Actual tensor([0., 1.])
Predicted tensor([0.9780, 0.0216]) Actual tensor([1., 0.])
Predicted tensor([0.4760, 0.5231]) Actual tensor([0., 1.])
Predicted tensor([0.3749, 0.6335]) Actual tensor([0., 1.])
Predicted tensor([0.7941, 0.2043]) Actual tensor([1., 0.])
Predicted tensor([0.9933, 0.0067]) Actual tensor([1., 0.])
Predicted tensor([-0.2227,  1.2218]) Actual tensor([0., 1.])
Predicted tensor([0.9361, 0.0641]) Actual tensor([1., 0.])
Predicted tensor([0.2625, 0.7360]) Actual tensor([0., 1.])
Predicted tensor([0.3139, 0.6839]) Actual tensor([0., 1.])
Predicted tensor([-0.0378,  1.0357]) Actual tensor([0., 1.])
Predicted tensor([0.6843, 0.3155]) Actual tensor([0., 1.])
Predicted tensor([ 1.1176, -0.1183]) Actual tensor([1., 0.])
Predicted tensor([0.2933, 0.7058]) Actual tensor([0., 1.])
Predicted tensor([-0.0629,  1.0631]) Actual tensor([0., 1.])
Predicted tensor([0.5616, 0.4372]) Actual tensor([0., 1.])
Predicted tensor([0.5513, 0.4481]) Actual tensor([1., 0.])
Predicted tensor([0.8424, 0.1574]) Actual tensor([1., 0.])
Predicted tensor([0.9029, 0.0958]) Actual tensor([1., 0.])
Predicted tensor([0.4777, 0.5217]) Actual tensor([1., 0.])
Predicted tensor([0.9877, 0.0116]) Actual tensor([1., 0.])
Predicted tensor([0.9428, 0.0564]) Actual tensor([1., 0.])
Predicted tensor([ 1.0731, -0.0732]) Actual tensor([1., 0.])
Predicted tensor([0.7825, 0.2180]) Actual tensor([0., 1.])
Predicted tensor([-0.1756,  1.1754]) Actual tensor([0., 1.])
Predicted tensor([0.4442, 0.5546]) Actual tensor([0., 1.])
Predicted tensor([0.7427, 0.2566]) Actual tensor([1., 0.])
Predicted tensor([ 1.1003, -0.1007]) Actual tensor([1., 0.])
Predicted tensor([0.3284, 0.6701]) Actual tensor([0., 1.])
Predicted tensor([0.7008, 0.2979]) Actual tensor([0., 1.])
Predicted tensor([0.1984, 0.8002]) Actual tensor([0., 1.])
Predicted tensor([0.1178, 0.8796]) Actual tensor([0., 1.])
Predicted tensor([0.3661, 0.6337]) Actual tensor([1., 0.])
Predicted tensor([0.1158, 0.8833]) Actual tensor([0., 1.])
Predicted tensor([0.3445, 0.6543]) Actual tensor([1., 0.])
Predicted tensor([0.8169, 0.1833]) Actual tensor([1., 0.])
Predicted tensor([0.8470, 0.1523]) Actual tensor([1., 0.])
Predicted tensor([ 1.0851, -0.0851]) Actual tensor([1., 0.])
Predicted tensor([0.2284, 0.7719]) Actual tensor([0., 1.])
Predicted tensor([0.7456, 0.2534]) Actual tensor([1., 0.])
Predicted tensor([0.6369, 0.3633]) Actual tensor([0., 1.])
Predicted tensor([0.2857, 0.7127]) Actual tensor([0., 1.])
Predicted tensor([ 1.0921, -0.0927]) Actual tensor([0., 1.])
Predicted tensor([0.3925, 0.6068]) Actual tensor([0., 1.])
Predicted tensor([0.2364, 0.7620]) Actual tensor([0., 1.])
Predicted tensor([0.0428, 0.9571]) Actual tensor([0., 1.])
Predicted tensor([ 1.0971, -0.0978]) Actual tensor([1., 0.])
Predicted tensor([-0.5112,  1.5559]) Actual tensor([0., 1.])
Predicted tensor([0.1546, 0.8449]) Actual tensor([0., 1.])
Predicted tensor([-0.0668,  1.0643]) Actual tensor([0., 1.])
Predicted tensor([0.1804, 0.8202]) Actual tensor([0., 1.])
Predicted tensor([0.8805, 0.1189]) Actual tensor([1., 0.])
Predicted tensor([ 1.0111, -0.0126]) Actual tensor([1., 0.])
Predicted tensor([0.1215, 0.8760]) Actual tensor([0., 1.])
Predicted tensor([0.9055, 0.0945]) Actual tensor([1., 0.])
Predicted tensor([-0.0071,  1.0063]) Actual tensor([0., 1.])
Predicted tensor([-0.5685,  1.6740]) Actual tensor([0., 1.])
Predicted tensor([0.4534, 0.5450]) Actual tensor([1., 0.])
Predicted tensor([0.5662, 0.4328]) Actual tensor([0., 1.])
Predicted tensor([0.5959, 0.4046]) Actual tensor([1., 0.])
Predicted tensor([ 1.0621, -0.0627]) Actual tensor([1., 0.])
Predicted tensor([0.2724, 0.7271]) Actual tensor([0., 1.])
Predicted tensor([0.2621, 0.7372]) Actual tensor([0., 1.])
Predicted tensor([ 1.0284, -0.0283]) Actual tensor([1., 0.])
Predicted tensor([0.0986, 0.9011]) Actual tensor([0., 1.])
Predicted tensor([0.5802, 0.4198]) Actual tensor([0., 1.])
Predicted tensor([0.5814, 0.4176]) Actual tensor([1., 0.])
Predicted tensor([0.5826, 0.4162]) Actual tensor([1., 0.])
Predicted tensor([0.2945, 0.7061]) Actual tensor([0., 1.])
Predicted tensor([0.9985, 0.0014]) Actual tensor([1., 0.])
Predicted tensor([ 1.0239, -0.0243]) Actual tensor([1., 0.])
Predicted tensor([0.1178, 0.8832]) Actual tensor([0., 1.])
Predicted tensor([ 1.3249, -0.3251]) Actual tensor([1., 0.])
Predicted tensor([0.2153, 0.7852]) Actual tensor([0., 1.])
Predicted tensor([0.5936, 0.4055]) Actual tensor([1., 0.])
Predicted tensor([ 1.3617, -0.3629]) Actual tensor([1., 0.])
Predicted tensor([-0.1448,  1.1442]) Actual tensor([0., 1.])
Predicted tensor([0.1584, 0.8401]) Actual tensor([0., 1.])
Predicted tensor([0.0241, 0.9752]) Actual tensor([0., 1.])
Predicted tensor([0.0828, 0.9163]) Actual tensor([0., 1.])
Predicted tensor([0.1824, 0.8168]) Actual tensor([0., 1.])
Predicted tensor([0.7130, 0.2862]) Actual tensor([1., 0.])
Predicted tensor([0.0721, 0.9262]) Actual tensor([0., 1.])
Predicted tensor([0.5871, 0.4120]) Actual tensor([1., 0.])
Predicted tensor([-0.1377,  1.1375]) Actual tensor([0., 1.])
Predicted tensor([0.9225, 0.0766]) Actual tensor([1., 0.])
Predicted tensor([-0.0588,  1.0615]) Actual tensor([0., 1.])
Predicted tensor([0.7108, 0.2880]) Actual tensor([1., 0.])
Predicted tensor([0.0902, 0.9077]) Actual tensor([0., 1.])
Predicted tensor([0.5525, 0.4475]) Actual tensor([0., 1.])
Total loss: tensor(137.4726)
Erred on:  b bizkunte s visconde &

Erred on:  b zimitz s chinche &

Erred on:  b kodaiña s guadaña &

Erred on:  b bazka s pasto &

Erred on:  b errudio s rodeo &

Erred on:  b loria s gloria &

Erred on:  b aingeru s escudero &

Erred on:  b erretal s retal &

Erred on:  b eleja s iglesia &

Erred on:  b erramero s romero &

Erred on:  b estakura s obstáculo &

Erred on:  b ünbüdü s rmbudo &

Erred on:  b debru s diablo &

Erred on:  b feble s débil &

Erred on:  b bezilla s arvejilla &

Erred on:  b marra s virtuoso &

Erred on:  b erron s ron &

Erred on:  b erliebe s relieve &

Erred on:  b erritmo s ritmo &

Erred on:  b zaurin s zahorí &

Erred on:  b berna s pierna &

Erred on:  b bostaza s mostaza &

Erred on:  b errebista s revista &

Erred on:  b errespuesta s respuesta &

Erred on:  b futre s buitre &

Erred on:  b durduratu s dudar &

Erred on:  b nabala s gabán &

Erred on:  b xeru s gerón &

Erred on:  b txamaraska s chamarasca &

Erred on:  b gate s cadena &

Erred on:  b kastor s bastón &

Erred on:  b dorpe s torpe &

Erred on:  b dantza s ducado &

Erred on:  b soslai s solo &

Erred on:  b erlojero s relojero &

Erred on:  b erribete s ribete &

Erred on:  b abito s vanagloria &

Erred on:  b bortitz s fuerte &

Erred on:  b kasuista s carabina &

Erred on:  b erlikia s reliquia &

Erred on:  b trezeba s pesebre &

Erred on:  b erregela s orégano &

Erred on:  b bentzario s vencejo &

Erred on:  b txamelote s chamelote &

Erred on:  b mabiska s garita &

Erred on:  b bapore s vapore &

Erred on:  b loben s novén &

Erred on:  b txarro s jarro &

Erred on:  b mendekoste s pentecostés &

Erred on:  b abarka s alaga &

Erred on:  b bapo s guapo &

Erred on:  b xahu s sano &

Erred on:  b gambara s garrapata &

Erred on:  b errebes s revés &

Erred on:  b besta s pierna &

Erred on:  b ipuro s enebro &

Erred on:  b txinizta s hiniesta &

Erred on:  b ule s hule &

Erred on:  b laratro s gastar &

Erred on:  b galtza s papirote &

Erred on:  b dastatu s tastar &

Erred on:  b bike s pez &

Erred on:  b txarol s charol &

Erred on:  b estañu s estéreo &

Erred on:  b txuzo s chuzo &

Erred on:  b bukatu s acabar &

Erred on:  b garmu s vara &

Erred on:  b erdeiñu s desdeño &

Erred on:  b baka s paca &

Erred on:  b eritu s herir &

Erred on:  b finjitu s fásmido &

Erred on:  b bultza s impulso &

Erred on:  b eliza s iglesia &

Erred on:  b zaurin s barra &

Erred on:  b estañu s elevado &

Erred on:  b bazko s pascua &

Erred on:  b erregina s reina &

Erred on:  b bionbo s vencejo &

Erred on:  b firu s hilo &

Erred on:  b mantal s delantal &

Erred on:  b galtzeta s calceta &

[[231  21]
 [ 60 195]]
F1: 0.8280254777070064
(array([0.79381443, 0.90277778]), array([0.91666667, 0.76470588]), array([0.85082873, 0.82802548]), array([252, 255]))
252 255
291 216
426 507
Accuracy: 0.8402366863905325
BASQUE RESULTS, WITH FINE-TUNING--------------------------------------
N 1 D_in 8906 H 100
Begin training...
Epoch  0 , loss: 0.0041170245967805386
Epoch  4 , loss: 0.3878312110900879
Epoch  8 , loss: 0.4927673041820526
Epoch  12 , loss: 0.0563943050801754
Epoch  16 , loss: 0.023315396159887314
Epoch  20 , loss: 0.08836334198713303
Epoch  24 , loss: 0.19944556057453156
Epoch  28 , loss: 0.026456689462065697
Epoch  32 , loss: 0.05508524179458618
Epoch  36 , loss: 0.05225249007344246
Epoch  40 , loss: 0.6473235487937927
Epoch  44 , loss: 0.016575617715716362
Epoch  48 , loss: 0.2823027968406677
Epoch  52 , loss: 0.0008989086491055787
Epoch  56 , loss: 0.06885180622339249
Epoch  60 , loss: 0.0029019045177847147
Epoch  64 , loss: 0.2335052341222763
Epoch  68 , loss: 0.016097383573651314
Epoch  72 , loss: 0.0742160826921463
Epoch  76 , loss: 0.009106654673814774
Epoch  80 , loss: 0.005872900597751141
Epoch  84 , loss: 0.0025376316625624895
Epoch  88 , loss: 0.003512486582621932
Epoch  92 , loss: 0.02986028976738453
Epoch  96 , loss: 0.2014576941728592
Epoch  100 , loss: 0.0025743511505424976
Epoch  104 , loss: 8.497991802869365e-05
Epoch  108 , loss: 0.005420563742518425
Epoch  112 , loss: 0.02254558354616165
Epoch  116 , loss: 0.04772958904504776
Epoch  120 , loss: 0.10688084363937378
Epoch  124 , loss: 0.15555018186569214
Epoch  128 , loss: 0.09469448029994965
Epoch  132 , loss: 0.006098072975873947
Epoch  136 , loss: 0.16543301939964294
Epoch  140 , loss: 0.03179482743144035
Epoch  144 , loss: 0.02469594217836857
Epoch  148 , loss: 0.4946556091308594
Epoch  152 , loss: 0.038135942071676254
Epoch  156 , loss: 0.00406978465616703
Epoch  160 , loss: 0.002157053677365184
Epoch  164 , loss: 0.0009769144235178828
Epoch  168 , loss: 8.57599479786586e-06
Epoch  172 , loss: 0.33526426553726196
Epoch  176 , loss: 0.15336161851882935
Epoch  180 , loss: 0.01868503913283348
Epoch  184 , loss: 0.41829913854599
Epoch  188 , loss: 0.014193173497915268
Epoch  192 , loss: 0.005563407205045223
Epoch  196 , loss: 0.061249323189258575
Epoch  200 , loss: 0.043121736496686935
Epoch  204 , loss: 0.02342514507472515
Epoch  208 , loss: 0.0019651688635349274
Epoch  212 , loss: 0.03875129297375679
Epoch  216 , loss: 0.04287508875131607
Epoch  220 , loss: 0.19773682951927185
Epoch  224 , loss: 0.02680915780365467
Epoch  228 , loss: 0.029250958934426308
Epoch  232 , loss: 0.007256230805069208
Epoch  236 , loss: 0.0337156243622303
Epoch  240 , loss: 0.08285506814718246
Epoch  244 , loss: 0.13826391100883484
Epoch  248 , loss: 0.1555602103471756
Epoch  252 , loss: 0.0011293892748653889
Epoch  256 , loss: 0.004974556155502796
Epoch  260 , loss: 0.19640684127807617
Epoch  264 , loss: 0.0024205155204981565
Epoch  268 , loss: 0.015854015946388245
Epoch  272 , loss: 0.10312186926603317
Epoch  276 , loss: 0.009672821499407291
Epoch  280 , loss: 0.039113715291023254
Epoch  284 , loss: 0.027501199394464493
Epoch  288 , loss: 0.0003056734858546406
Epoch  292 , loss: 0.00014015199849382043
Epoch  296 , loss: 0.06935323029756546
Epoch  300 , loss: 0.005983898416161537
Epoch  304 , loss: 0.07497523725032806
Epoch  308 , loss: 0.09003716707229614
Epoch  312 , loss: 0.01519088726490736
Epoch  316 , loss: 0.013015246950089931
Epoch  320 , loss: 0.039609991014003754
Epoch  324 , loss: 0.01931379921734333
Epoch  328 , loss: 0.03282369673252106
Epoch  332 , loss: 0.034310903400182724
Epoch  336 , loss: 6.933629720151657e-06
Epoch  340 , loss: 0.00027655158191919327
Epoch  344 , loss: 0.06211977079510689
Epoch  348 , loss: 0.0005365139222703874
Epoch  352 , loss: 0.07154242694377899
Epoch  356 , loss: 0.17234718799591064
Epoch  360 , loss: 0.05276409536600113
Epoch  364 , loss: 0.027637355029582977
Epoch  368 , loss: 0.003920798189938068
Epoch  372 , loss: 0.4281197786331177
Epoch  376 , loss: 0.0013234112411737442
Epoch  380 , loss: 0.5917993783950806
Epoch  384 , loss: 0.023595957085490227
Epoch  388 , loss: 0.06695950031280518
Epoch  392 , loss: 0.21441340446472168
Epoch  396 , loss: 0.08278142660856247
Epoch  400 , loss: 0.021716013550758362
Epoch  404 , loss: 0.0001978310610866174
Epoch  408 , loss: 0.16437625885009766
Epoch  412 , loss: 0.00036698777694255114
Epoch  416 , loss: 0.0986272469162941
Epoch  420 , loss: 0.28398531675338745
Epoch  424 , loss: 0.007037221919745207
Epoch  428 , loss: 0.03673696890473366
Epoch  432 , loss: 0.4332389831542969
Epoch  436 , loss: 0.000533331127371639
Epoch  440 , loss: 0.29246774315834045
Epoch  444 , loss: 0.004349299240857363
Epoch  448 , loss: 0.11300614476203918
Epoch  452 , loss: 0.047183867543935776
Epoch  456 , loss: 0.12451619654893875
Epoch  460 , loss: 0.015635089948773384
Epoch  464 , loss: 0.030607599765062332
Epoch  468 , loss: 0.030308321118354797
Epoch  472 , loss: 0.06147857382893562
Epoch  476 , loss: 0.04117469862103462
Epoch  480 , loss: 1.3652631423610728e-05
Epoch  484 , loss: 0.009657774120569229
Epoch  488 , loss: 0.1264125257730484
Epoch  492 , loss: 0.012330874800682068
Epoch  496 , loss: 0.1059451475739479
Epoch  500 , loss: 0.1872849315404892
Epoch  504 , loss: 0.049341171979904175
Epoch  508 , loss: 0.06330770999193192
Epoch  512 , loss: 0.00019817083375528455
Epoch  516 , loss: 0.11712164431810379
Epoch  520 , loss: 0.006489374674856663
Epoch  524 , loss: 2.7767871870310046e-05
Epoch  528 , loss: 0.09683336317539215
Epoch  532 , loss: 0.020911764353513718
Epoch  536 , loss: 0.13416874408721924
Epoch  540 , loss: 0.048841364681720734
Epoch  544 , loss: 0.08364912122488022
Epoch  548 , loss: 0.12617388367652893
Epoch  552 , loss: 0.18076609075069427
Epoch  556 , loss: 0.0018727113492786884
Epoch  560 , loss: 0.006710436660796404
Epoch  564 , loss: 0.02719004638493061
Epoch  568 , loss: 0.025614621117711067
Epoch  572 , loss: 0.0033185051288455725
Epoch  576 , loss: 0.03422868251800537
Epoch  580 , loss: 1.2015023457934149e-05
Epoch  584 , loss: 0.004255581647157669
Epoch  588 , loss: 0.0160444974899292
Epoch  592 , loss: 0.0898650586605072
Epoch  596 , loss: 0.01620122417807579
Reached end
Predicted tensor([0.7682, 0.2318]) Actual tensor([1., 0.])
Predicted tensor([0.4905, 0.5094]) Actual tensor([0., 1.])
Predicted tensor([0.1866, 0.8133]) Actual tensor([0., 1.])
Predicted tensor([0.1860, 0.8139]) Actual tensor([0., 1.])
Predicted tensor([0.7853, 0.2150]) Actual tensor([1., 0.])
Predicted tensor([0.7613, 0.2390]) Actual tensor([1., 0.])
Predicted tensor([0.2979, 0.7024]) Actual tensor([0., 1.])
Predicted tensor([0.4598, 0.5395]) Actual tensor([0., 1.])
Predicted tensor([0.1327, 0.8668]) Actual tensor([0., 1.])
Predicted tensor([0.6761, 0.3233]) Actual tensor([0., 1.])
Predicted tensor([0.9181, 0.0816]) Actual tensor([1., 0.])
Predicted tensor([0.9649, 0.0351]) Actual tensor([1., 0.])
Predicted tensor([0.4563, 0.5442]) Actual tensor([1., 0.])
Predicted tensor([0.8001, 0.1996]) Actual tensor([1., 0.])
Predicted tensor([0.7756, 0.2242]) Actual tensor([1., 0.])
Predicted tensor([0.5584, 0.4415]) Actual tensor([0., 1.])
Predicted tensor([0.0681, 0.9309]) Actual tensor([0., 1.])
Predicted tensor([0.2253, 0.7741]) Actual tensor([0., 1.])
Predicted tensor([0.7021, 0.2979]) Actual tensor([1., 0.])
Predicted tensor([0.8451, 0.1552]) Actual tensor([1., 0.])
Predicted tensor([0.4229, 0.5767]) Actual tensor([0., 1.])
Predicted tensor([0.9667, 0.0334]) Actual tensor([1., 0.])
Predicted tensor([0.0200, 0.9794]) Actual tensor([0., 1.])
Predicted tensor([0.0862, 0.9140]) Actual tensor([0., 1.])
Predicted tensor([0.6902, 0.3092]) Actual tensor([1., 0.])
Predicted tensor([0.1228, 0.8763]) Actual tensor([0., 1.])
Predicted tensor([0.7607, 0.2392]) Actual tensor([1., 0.])
Predicted tensor([-0.0058,  1.0062]) Actual tensor([0., 1.])
Predicted tensor([0.9868, 0.0128]) Actual tensor([1., 0.])
Predicted tensor([0.2859, 0.7138]) Actual tensor([0., 1.])
Predicted tensor([0.4363, 0.5628]) Actual tensor([0., 1.])
Predicted tensor([ 1.1511, -0.1511]) Actual tensor([1., 0.])
Predicted tensor([ 1.0193, -0.0193]) Actual tensor([1., 0.])
Predicted tensor([0.4489, 0.5513]) Actual tensor([0., 1.])
Predicted tensor([0.5883, 0.4109]) Actual tensor([0., 1.])
Predicted tensor([0.3699, 0.6292]) Actual tensor([1., 0.])
Predicted tensor([0.4753, 0.5250]) Actual tensor([0., 1.])
Predicted tensor([0.3162, 0.6829]) Actual tensor([0., 1.])
Predicted tensor([0.9034, 0.0966]) Actual tensor([1., 0.])
Predicted tensor([0.2720, 0.7284]) Actual tensor([0., 1.])
Predicted tensor([0.5507, 0.4491]) Actual tensor([1., 0.])
Predicted tensor([0.4506, 0.5498]) Actual tensor([0., 1.])
Predicted tensor([0.9937, 0.0065]) Actual tensor([1., 0.])
Predicted tensor([0.7595, 0.2416]) Actual tensor([1., 0.])
Predicted tensor([0.2036, 0.7974]) Actual tensor([0., 1.])
Predicted tensor([0.0871, 0.9127]) Actual tensor([0., 1.])
Predicted tensor([0.3220, 0.6779]) Actual tensor([0., 1.])
Predicted tensor([0.4791, 0.5220]) Actual tensor([1., 0.])
Predicted tensor([0.5338, 0.4667]) Actual tensor([1., 0.])
Predicted tensor([0.6741, 0.3256]) Actual tensor([1., 0.])
Predicted tensor([0.7985, 0.2024]) Actual tensor([1., 0.])
Predicted tensor([0.4530, 0.5471]) Actual tensor([1., 0.])
Predicted tensor([0.3801, 0.6201]) Actual tensor([0., 1.])
Predicted tensor([0.9467, 0.0527]) Actual tensor([1., 0.])
Predicted tensor([0.3872, 0.6123]) Actual tensor([0., 1.])
Predicted tensor([0.2012, 0.7985]) Actual tensor([0., 1.])
Predicted tensor([0.2227, 0.7768]) Actual tensor([0., 1.])
Predicted tensor([0.9397, 0.0602]) Actual tensor([1., 0.])
Predicted tensor([0.2061, 0.7936]) Actual tensor([0., 1.])
Predicted tensor([ 1.2342, -0.2340]) Actual tensor([1., 0.])
Predicted tensor([0.4957, 0.5039]) Actual tensor([1., 0.])
Predicted tensor([0.6946, 0.3053]) Actual tensor([1., 0.])
Predicted tensor([ 1.4557, -0.4553]) Actual tensor([1., 0.])
Predicted tensor([0.5923, 0.4075]) Actual tensor([1., 0.])
Predicted tensor([0.6245, 0.3751]) Actual tensor([0., 1.])
Predicted tensor([0.5272, 0.4723]) Actual tensor([0., 1.])
Predicted tensor([0.7469, 0.2527]) Actual tensor([1., 0.])
Predicted tensor([0.3217, 0.6785]) Actual tensor([1., 0.])
Predicted tensor([0.0735, 0.9265]) Actual tensor([0., 1.])
Predicted tensor([0.4433, 0.5565]) Actual tensor([0., 1.])
Predicted tensor([0.1683, 0.8311]) Actual tensor([0., 1.])
Predicted tensor([0.5357, 0.4641]) Actual tensor([0., 1.])
Predicted tensor([-0.0567,  1.0569]) Actual tensor([0., 1.])
Predicted tensor([0.2698, 0.7295]) Actual tensor([0., 1.])
Predicted tensor([0.6917, 0.3082]) Actual tensor([1., 0.])
Predicted tensor([0.6471, 0.3526]) Actual tensor([1., 0.])
Predicted tensor([ 1.3761, -0.3760]) Actual tensor([1., 0.])
Predicted tensor([0.1991, 0.7998]) Actual tensor([0., 1.])
Predicted tensor([0.9710, 0.0289]) Actual tensor([1., 0.])
Predicted tensor([0.2708, 0.7285]) Actual tensor([0., 1.])
Predicted tensor([0.7028, 0.2974]) Actual tensor([1., 0.])
Predicted tensor([0.8911, 0.1089]) Actual tensor([1., 0.])
Predicted tensor([0.2488, 0.7514]) Actual tensor([0., 1.])
Predicted tensor([-0.0568,  1.0575]) Actual tensor([0., 1.])
Predicted tensor([0.0520, 0.9477]) Actual tensor([1., 0.])
Predicted tensor([0.6137, 0.3856]) Actual tensor([0., 1.])
Predicted tensor([0.7817, 0.2181]) Actual tensor([1., 0.])
Predicted tensor([0.7333, 0.2667]) Actual tensor([1., 0.])
Predicted tensor([-0.1153,  1.1147]) Actual tensor([0., 1.])
Predicted tensor([0.3259, 0.6743]) Actual tensor([1., 0.])
Predicted tensor([0.0879, 0.9112]) Actual tensor([0., 1.])
Predicted tensor([0.7356, 0.2642]) Actual tensor([1., 0.])
Predicted tensor([-0.0150,  1.0144]) Actual tensor([0., 1.])
Predicted tensor([0.5681, 0.4318]) Actual tensor([1., 0.])
Predicted tensor([0.9469, 0.0525]) Actual tensor([0., 1.])
Predicted tensor([0.9132, 0.0867]) Actual tensor([1., 0.])
Predicted tensor([0.8998, 0.1005]) Actual tensor([1., 0.])
Predicted tensor([0.2451, 0.7542]) Actual tensor([0., 1.])
Predicted tensor([0.4078, 0.5911]) Actual tensor([1., 0.])
Predicted tensor([0.8278, 0.1718]) Actual tensor([1., 0.])
Predicted tensor([0.7776, 0.2229]) Actual tensor([1., 0.])
Predicted tensor([0.7360, 0.2639]) Actual tensor([1., 0.])
Predicted tensor([0.0275, 0.9716]) Actual tensor([0., 1.])
Predicted tensor([0.3441, 0.6553]) Actual tensor([1., 0.])
Predicted tensor([0.1362, 0.8628]) Actual tensor([0., 1.])
Predicted tensor([0.3752, 0.6232]) Actual tensor([1., 0.])
Predicted tensor([0.2934, 0.7062]) Actual tensor([0., 1.])
Predicted tensor([0.3374, 0.6615]) Actual tensor([0., 1.])
Predicted tensor([0.8286, 0.1712]) Actual tensor([1., 0.])
Predicted tensor([0.2652, 0.7342]) Actual tensor([0., 1.])
Predicted tensor([0.9622, 0.0384]) Actual tensor([1., 0.])
Predicted tensor([0.4891, 0.5103]) Actual tensor([1., 0.])
Predicted tensor([0.3952, 0.6059]) Actual tensor([1., 0.])
Predicted tensor([0.4463, 0.5535]) Actual tensor([0., 1.])
Predicted tensor([ 1.1411, -0.1411]) Actual tensor([1., 0.])
Predicted tensor([0.7676, 0.2321]) Actual tensor([1., 0.])
Predicted tensor([0.4054, 0.5952]) Actual tensor([1., 0.])
Predicted tensor([0.0319, 0.9678]) Actual tensor([0., 1.])
Predicted tensor([0.9176, 0.0823]) Actual tensor([1., 0.])
Predicted tensor([0.0799, 0.9198]) Actual tensor([0., 1.])
Predicted tensor([0.4921, 0.5077]) Actual tensor([0., 1.])
Predicted tensor([ 1.1182, -0.1181]) Actual tensor([1., 0.])
Predicted tensor([0.3808, 0.6196]) Actual tensor([1., 0.])
Predicted tensor([-0.0844,  1.0840]) Actual tensor([0., 1.])
Predicted tensor([0.9020, 0.0978]) Actual tensor([1., 0.])
Predicted tensor([0.6737, 0.3257]) Actual tensor([1., 0.])
Predicted tensor([0.6327, 0.3668]) Actual tensor([1., 0.])
Predicted tensor([0.0567, 0.9436]) Actual tensor([0., 1.])
Predicted tensor([ 1.0242, -0.0245]) Actual tensor([1., 0.])
Predicted tensor([0.4258, 0.5738]) Actual tensor([0., 1.])
Predicted tensor([0.8481, 0.1520]) Actual tensor([1., 0.])
Predicted tensor([-0.0853,  1.0834]) Actual tensor([0., 1.])
Predicted tensor([0.0524, 0.9477]) Actual tensor([0., 1.])
Predicted tensor([ 1.3281, -0.3278]) Actual tensor([1., 0.])
Predicted tensor([0.4123, 0.5887]) Actual tensor([1., 0.])
Predicted tensor([ 1.0965, -0.0965]) Actual tensor([1., 0.])
Predicted tensor([0.2893, 0.7108]) Actual tensor([0., 1.])
Predicted tensor([-0.1504,  1.1503]) Actual tensor([0., 1.])
Predicted tensor([0.0162, 0.9837]) Actual tensor([0., 1.])
Predicted tensor([0.4001, 0.6003]) Actual tensor([0., 1.])
Predicted tensor([0.6030, 0.3973]) Actual tensor([1., 0.])
Predicted tensor([0.5782, 0.4215]) Actual tensor([1., 0.])
Predicted tensor([0.1349, 0.8656]) Actual tensor([0., 1.])
Predicted tensor([0.3384, 0.6617]) Actual tensor([0., 1.])
Predicted tensor([0.2733, 0.7271]) Actual tensor([0., 1.])
Predicted tensor([0.2556, 0.7445]) Actual tensor([0., 1.])
Predicted tensor([0.2577, 0.7418]) Actual tensor([0., 1.])
Predicted tensor([0.4466, 0.5527]) Actual tensor([1., 0.])
Predicted tensor([0.2131, 0.7855]) Actual tensor([0., 1.])
Predicted tensor([0.7140, 0.2857]) Actual tensor([1., 0.])
Predicted tensor([0.7547, 0.2448]) Actual tensor([1., 0.])
Predicted tensor([0.0506, 0.9494]) Actual tensor([0., 1.])
Predicted tensor([0.0026, 0.9966]) Actual tensor([0., 1.])
Predicted tensor([0.4045, 0.5942]) Actual tensor([0., 1.])
Predicted tensor([0.6563, 0.3428]) Actual tensor([1., 0.])
Predicted tensor([0.5987, 0.4009]) Actual tensor([1., 0.])
Predicted tensor([0.9877, 0.0128]) Actual tensor([1., 0.])
Predicted tensor([0.5042, 0.4954]) Actual tensor([1., 0.])
Predicted tensor([0.0404, 0.9591]) Actual tensor([0., 1.])
